1651.68286133	1.98039210
1651.68676758	1.92156863
1651.69091797	1.88235295
1651.69091797	1.94117641
1651.69506836	1.98039210
1651.69909668	2.07843137
1651.70324707	2.15686274
1651.70727539	2.29411769
1651.71154785	2.49019599
1651.71154785	2.39215684
1651.71557617	2.41176462
1651.71972656	2.50980401
1651.72387695	2.52941179
1651.72387695	2.47058821
1651.72778320	2.43137264
1651.73193359	2.45098042
1651.73608398	2.49019599
1651.73608398	2.54901958
1651.74011230	2.62745094
1651.74426270	2.78431368
1651.74841309	2.94117641
1651.75244141	2.98039222
1651.75659180	2.98039222
1651.75659180	3.01960778
1651.76049805	3.00000000
1651.76464844	2.98039222
1651.76879883	2.94117641
1651.76879883	2.90196085
1651.77294922	3.00000000
1651.77697754	2.94117641
1651.78100586	2.98039222
1651.78100586	3.17647052
1651.78515625	3.27450991
1651.78930664	3.21568632
1651.78930664	3.17647052
1651.79345703	3.19607854
1651.79760742	3.11764717
1651.80163574	2.94117641
1651.80163574	2.82352948
1651.80566406	2.76470590
1651.80981445	2.70588231
1651.81396484	2.62745094
1651.81396484	2.52941179
1651.81799316	2.52941179
1651.82202148	2.54901958
1651.82617188	2.58823538
1651.83020020	2.60784316
1651.83435059	2.72549009
1651.83435059	2.84313726
1651.83837891	2.78431368
1651.84252930	2.82352948
1651.84667969	2.78431368
1651.84667969	2.68627453
1651.85070801	2.52941179
1651.85485840	2.43137264
1651.85888672	2.37254906
1651.85888672	2.35294127
1651.86315918	2.43137264
1651.86718750	2.45098042
1651.87121582	2.70588231
1651.87536621	2.74509811
1651.87951660	2.76470590
1651.87951660	2.84313726
1651.88366699	2.86274505
1651.88757324	2.80392146
1651.89172363	2.76470590
1651.89172363	2.70588231
1651.89575195	2.84313726
1651.89990234	2.88235283
1651.90405273	2.94117641
1651.90405273	3.00000000
1651.90808105	2.98039222
1651.91210938	2.86274505
1651.91210938	2.72549009
1651.91625977	2.62745094
1651.92028809	2.49019599
1651.92456055	2.47058821
1651.92456055	2.41176462
1651.92858887	2.39215684
1651.93273926	2.39215684
1651.93688965	2.45098042
1651.93688965	2.45098042
