979.54455566	2.52941179
979.54864502	2.29411769
979.54864502	2.23529410
979.55261230	2.41176462
979.55682373	2.62745094
979.56091309	2.60784316
979.56488037	2.33333325
979.56903076	2.15686274
979.56903076	2.15686274
979.57312012	2.37254906
979.57727051	2.56862736
979.58135986	2.60784316
979.58135986	2.43137264
979.58538818	2.19607854
979.58947754	2.03921580
979.59362793	2.13725495
979.59362793	2.37254906
979.59771729	2.54901958
979.60192871	2.52941179
979.60589600	2.09803915
979.61004639	2.01960778
979.61419678	2.19607854
979.61419678	2.39215684
979.61834717	2.50980401
979.62225342	2.39215684
979.62634277	2.11764717
979.62634277	1.92156863
979.63049316	1.88235295
979.63464355	2.03921580
979.63861084	2.17647052
979.63861084	2.17647052
979.64282227	1.92156863
979.64685059	1.62745094
979.65106201	1.43137252
979.65496826	1.58823526
979.65924072	1.66666663
979.65924072	1.58823526
979.66326904	1.27450979
979.66735840	1.03921568
979.67156982	0.92156863
979.67156982	1.03921568
979.67547607	1.21568632
979.67962646	1.29411769
979.68371582	1.19607842
979.68371582	0.96078432
979.68786621	0.82352942
979.69201660	0.84313726
979.69201660	1.05882359
979.69604492	1.25490201
979.70013428	1.33333337
979.70422363	1.15686274
979.70422363	0.98039216
979.70825195	0.92156863
979.71234131	1.09803927
979.71649170	1.37254906
979.71649170	1.54901958
979.72064209	1.56862748
979.72473145	1.39215684
979.72869873	1.23529410
979.73284912	1.43137252
979.73699951	1.66666663
979.73699951	1.78431368
979.74108887	1.66666663
979.74523926	1.43137252
979.74920654	1.31372547
979.74920654	1.33333337
979.75335693	1.54901958
979.75750732	1.74509799
979.76159668	1.80392158
979.76159668	1.64705884
979.76562500	1.47058821
979.76977539	1.39215684
979.77386475	1.78431368
979.77801514	1.98039210
979.78204346	2.01960778
979.78204346	1.84313726
979.78625488	1.68627453
979.79022217	1.68627453
979.79443359	1.88235295
979.79443359	2.15686274
979.79833984	2.31372547
979.80249023	2.25490189
979.80657959	2.07843137
979.80657959	1.94117641
979.81072998	2.00000000
979.81488037	2.25490189
979.81488037	2.47058821
979.81890869	2.54901958
979.82299805	2.39215684
979.82714844	2.21568632
979.82714844	2.15686274
979.83123779	2.27450991
979.83526611	2.50980401
979.83935547	2.66666675
979.83935547	2.62745094
979.84356689	2.47058821
979.84759521	2.29411769
979.85174561	2.45098042
979.85571289	2.64705873
979.85986328	2.76470590
979.85986328	2.66666675
979.86401367	2.47058821
979.86810303	2.33333325
979.87225342	2.35294127
979.87225342	2.56862736
979.87622070	2.72549009
979.88043213	2.76470590
979.88446045	2.58823538
979.88446045	2.39215684
979.88854980	2.29411769
979.89263916	2.35294127
979.89672852	2.72549009
979.90112305	2.68627453
979.90496826	2.47058821
979.90496826	2.27450991
979.90899658	2.21568632
979.91308594	2.37254906
979.91723633	2.56862736
979.91723633	2.68627453
979.92138672	2.56862736
979.92535400	2.35294127
979.92944336	2.17647052
979.92944336	2.17647052
979.93359375	2.37254906
979.93774414	2.54901958
979.93774414	2.58823538
979.94171143	2.45098042
979.94586182	2.27450991
979.94995117	2.13725495
979.94995117	2.21568632
979.95410156	2.41176462
979.95825195	2.58823538
979.96228027	2.56862736
979.96228027	2.39215684
979.96636963	2.21568632
979.97052002	2.13725495
979.97460938	2.25490189
979.97460938	2.45098042
979.97869873	2.52941179
979.98278809	2.39215684
979.98278809	2.15686274
979.98693848	1.96078432
979.99102783	1.94117641
979.99511719	2.11764717
979.99511719	2.29411769
979.99920654	2.33333325
980.00323486	2.17647052
980.00732422	2.00000000
980.00732422	1.92156863
980.01153564	2.03921580
980.01550293	2.27450991
980.01959229	2.47058821
980.02380371	2.31372547
980.02789307	2.17647052
980.02789307	2.19607854
980.03186035	2.39215684
980.03601074	2.66666675
980.04010010	2.84313726
980.04010010	2.84313726
980.04418945	2.72549009
980.04833984	2.68627453
980.05242920	2.76470590
980.05242920	2.98039222
980.05651855	3.17647052
980.06066895	3.21568632
980.06481934	2.88235283
980.06872559	2.76470590
980.07287598	2.84313726
980.07287598	3.05882359
980.07696533	3.15686274
980.08111572	3.11764717
980.08526611	2.90196085
980.08526611	2.68627453
980.08923340	2.60784316
980.09338379	2.70588231
980.09747314	2.86274505
980.09747314	2.92156863
980.10168457	2.76470590
980.10559082	2.50980401
980.10559082	2.31372547
980.10980225	2.27450991
980.11389160	2.45098042
980.11798096	2.58823538
980.11798096	2.58823538
980.12219238	2.39215684
980.12622070	2.15686274
980.13024902	2.03921580
980.13024902	2.07843137
980.13433838	2.27450991
980.13848877	2.39215684
980.14251709	2.15686274
980.14660645	1.98039210
980.15075684	1.94117641
980.15075684	2.05882359
980.15484619	2.23529410
980.15887451	2.31372547
980.16296387	2.23529410
980.16296387	2.07843137
980.16711426	1.96078432
980.17126465	2.00000000
980.17535400	2.21568632
980.17535400	2.39215684
980.17938232	2.47058821
980.18347168	2.33333325
980.18762207	2.09803915
980.19165039	2.19607854
980.19567871	2.39215684
980.19567871	2.52941179
980.19976807	2.52941179
980.20397949	2.37254906
980.20812988	2.23529410
980.20812988	2.21568632
980.21221924	2.35294127
980.21624756	2.52941179
980.22045898	2.64705873
980.22045898	2.56862736
980.22448730	2.39215684
980.22863770	2.27450991
980.23260498	2.49019599
980.23675537	2.66666675
980.24090576	2.72549009
980.24090576	2.62745094
980.24499512	2.45098042
980.24902344	2.39215684
980.25323486	2.45098042
